## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam/SRR7657894.insert_size.pdf INPUT=bam/SRR7657894.sorted.bam OUTPUT=bam/SRR7657894.insert_size.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 10 09:18:58 GMT 2021
# This is a fake metrics file for the sake of having some bad QC

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
120	114	39	142	157955426	266.616654	64.549677	12546180	FR	15	29	45	61	79	101	129	173	593	3349	19751	NA	NA	NA

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
142	3
143	7
144	24
145	169
146	22942
147	29085
148	30759
149	31976
150	31318
151	31119
152	33515
153	36400
154	38935
155	41506
156	45330
157	48524
158	52064
159	55611
160	58594
161	63785
162	68477
163	72514
164	77659
165	81962
166	87927
167	93602
168	99276
169	105180
170	110069
171	116724
172	124793
173	129782
174	136095
175	140801
176	148472
177	154713
178	160601
179	166806
180	172773
181	177236
182	181247
183	186028
184	189345
185	191968
186	195563
187	199251
188	199452
189	200375
190	201402
191	202520
192	202919
193	202881
194	200520
195	198537
196	196448
197	196674
198	192825
199	190531
200	187207
201	183136
202	179938
203	175994
204	170950
205	165345
206	161691
207	158897
208	154251
209	148594
210	143741
211	139379
212	133841
213	129368
214	122374
215	116564
216	111234
217	106698
218	102082
219	95498
220	90002
221	86895
222	82542
223	78493
224	73755
225	69347
226	66050
227	62492
228	59157
229	55826
230	52771
231	49876
232	47258
233	44594
234	41380
235	39596
236	37760
237	35675
238	33465
239	31354
240	29849
241	28355
242	26608
243	25164
244	23587
245	22552
246	21400
247	20248
248	18780
249	17870
250	16951
251	16301
252	15280
253	14395
254	13883
255	13222
256	12678
257	12015
258	11507
259	10248
260	9662
261	9375
262	8789
263	8455
264	8083
265	7931
266	7475
267	7294
268	6814
269	6506
270	6513
271	6129
272	5891
273	5653
274	5450
275	5370
276	5154
277	5031
278	4908
279	4769
280	4660
281	4478
282	4457
283	4374
284	4293
285	4230
286	4051
287	3944
288	3795
289	3830
290	3623
291	3614
292	3425
293	3469
294	3386
295	3310
296	3292
297	3177
298	3144
299	3100
300	3040
301	3028
302	2952
303	2897
304	2762
305	2861
306	2742
307	2744
308	2779
309	2664
310	2594
311	2523
312	2564
313	2484
314	2454
315	2488
316	2433
317	2345
318	2332
319	2332
320	2274
321	2252
322	2179
323	2152
324	2161
325	2121
326	2166
327	2135
328	2171
329	2052
330	2115
331	2107
332	2120
333	1999
334	2001
335	1903
336	1962
337	1958
338	1915
339	1917
340	1853
341	1916
342	1846
343	1887
344	1906
345	1858
346	1734
347	1814
348	1798
349	1848
350	1845
351	1797
352	1784
353	1803
354	1830
355	1735
356	1734
357	1813
358	1705
359	1771
360	1828
361	1793
362	1731
363	1669
364	1734
365	1734
366	1743
367	1718
368	1754
369	1736
370	1686
371	1739
372	1659
373	1790
374	1661
375	1661
376	1622
377	1579
378	1551
379	1533
380	1487
381	1438
382	1434
383	1379
384	1343
385	1326
386	1286
387	1242
388	1243
389	1221
390	1175
391	1149
392	1133
393	1107
394	1081
395	1066
396	1044
397	1000
398	1008
399	978
400	897
401	871
402	843
403	825
404	820
405	798
406	789
407	742
408	744
409	738
410	721
411	691
412	704
413	684
414	684
415	651
416	639
417	627
418	631
419	630
420	592
421	584
422	562
423	561
424	566
425	558
426	536
427	522
428	525
429	502
430	498
431	490
432	486
433	480
434	460
435	464
436	463
437	449
438	452
439	434
440	431
441	438
442	431
443	415
444	406
445	417
446	396
447	408
448	388
449	391
450	380
451	397
452	372
453	387
454	368
455	373
456	368
457	366
458	364
459	354
460	351
461	344
462	340
463	340
464	332
465	323
466	339
467	322
468	314
469	311
470	314
471	309
472	313
473	300
474	291
475	298
476	301
477	291
478	294
479	290
480	281
481	291
482	281
483	280
484	267
485	281
486	268
487	275
488	271
489	264
490	261
491	260
492	266
493	261
494	262
495	264
496	246
497	256
498	244
499	242
500	235
501	243
502	244
503	253
504	236
505	237
506	239
507	235
508	238
509	241
510	237
511	222
512	226
513	227
514	218
515	219
516	217
517	226
518	217
519	219
520	210
521	215
522	209
523	213
524	212
525	219
526	211
527	209
528	206
529	199
530	203
531	200
532	201
533	201
534	197
535	198
536	194
537	201
538	188
539	192
540	184
541	190
542	181
543	187
544	183
545	189
546	178
547	188
548	189
549	185
550	187
551	181
552	190
553	185
554	176
555	179
556	177
557	184
558	181
559	180
560	184
561	191
562	175
563	172
564	173
565	174
566	173
567	171
568	169
569	159
570	176
571	163
572	165
573	173
